"","PAM50_SUBTYPE","TNFRSF12A","unlog"
"1","Normal-like",5.439899499416,43.408314476172
"2","Basal-like",5.71732998105213,52.6123643967405
"3","HER2-enriched",6.16660485993262,71.8344935525984
"4","Luminal A",5.76695943254337,54.4537474700844
"5","Luminal B",5.55730276543466,47.0884968699192
