"","PAM50_SUBTYPE","TNFRSF12A","unlog"
"1","Normal-like",5.42833584583616,43.0617738819382
"2","Basal-like",5.75314596963289,53.9348538564905
"3","HER2-enriched",6.17939803795131,72.4743225616491
"4","Luminal A",5.75028234271035,53.8279039383153
"5","Luminal B",5.52447900920854,46.0292493243173
