"","PAM50_SUBTYPE","TNFRSF12A","unlog"
"1","Normal-like",5.42833584583616,43.0617738819382
"2","Basal-like",5.70916524488934,52.3154528412731
"3","HER2-enriched",6.16038387809109,71.5254060721527
"4","Luminal A",5.75077812205394,53.8464049715046
"5","Luminal B",5.52492949956246,46.0436244833063
